VIA,Tipo,Subtipo
1244,Mujer,Heroína
1245,Hombre,
1246,Hombre,
1248,Lugar/Ciudad,
1251,Histórico,
1254,Flora,
1257,Pais/Nación/Región,
1260,Lugar/Ciudad,
1263,Hombre,
1266,Hombre,
1267,Pais/Nación/Región,
1269,Hombre,
1272,Geográfico,
1274,Descriptivo,
1275,Geográfico,
1277,Descriptivo,
1278,Hombre,
1279,Hombre,
1280,Pais/Nación/Región,
1281,Hombre,
1282,Descriptivo,
1283,Geográfico,
1284,Pais/Nación/Región,
1285,Descriptivo,
1286,Descriptivo,
1287,Lugar/Ciudad,
1288,Hombre,
1289,Histórico,
1290,Hombre,
1291,Hombre,
1292,Descriptivo,
1293,Hombre,
1294,Hombre,
1295,Hombre,
1296,Descriptivo,
1297,Descriptivo,
1298,Astronómico,
1299,Descriptivo,
1300,Mujer,Falta información
1301,Astronómico,
1302,Descriptivo,
1303,Descriptivo,
1304,Descriptivo,
1305,Hombre,
1306,Hombre,
1307,Hombre,
1308,Descriptivo,
1309,Descriptivo,
1310,Hombre,
1311,Descriptivo,
1312,Hombre,
1313,Hombre,
1314,Descriptivo,
1315,Descriptivo,
1316,Hombre,
1317,Hombre,
1318,Hombre,
1319,Hombre,
1320,Descriptivo,
1321,Hombre,
1322,Hombre,
1323,Hombre,
1324,Descriptivo,
1325,Hombre,
1326,Hombre,
1327,Hombre,
1328,Hombre,
1329,Descriptivo,
1330,Hombre,
1331,Hombre,
1332,Descriptivo,
1333,Descriptivo,
1334,Descriptivo,
1335,Descriptivo,
1336,Descriptivo,
1337,Descriptivo,
1338,Descriptivo,
1339,Descriptivo,
1340,Descriptivo,
1341,Descriptivo,
1342,Fauna,
1343,Otro,
1344,Descriptivo,
1345,Descriptivo,
1346,Flora,
1347,Descriptivo,
1348,Descriptivo,
1349,Descriptivo,
1350,Flora,
1351,Hombre,
1352,Descriptivo,
1353,Hombre,
1354,Hombre,
1355,Hombre,
1356,Hombre,
1357,Hombre,
1358,Hombre,
1359,Flora,
1360,Descriptivo,
1361,Descriptivo,
1362,Descriptivo,
1363,Mujer,Cultura
1364,Mujer,Cultura
1365,Hombre,
1366,Fauna,
1367,Histórico,
1368,Hombre,
1369,Descriptivo,
1370,Descriptivo,
1371,Descriptivo,
1372,Descriptivo,
1373,Hombre,
1374,Descriptivo,
1375,Astronómico,
1376,Descriptivo,
1377,Hombre,
1378,Descriptivo,
1379,Descriptivo,
1380,Descriptivo,
1381,Descriptivo,
1382,Hombre,
1383,Hombre,
1384,Descriptivo,
1385,Fauna,
1386,Descriptivo,
1387,Hombre,
1388,Descriptivo,
1389,Descriptivo,
1390,Descriptivo,
1391,Hombre,
1392,Descriptivo,
1394,Hombre,
1396,Hombre,
1397,Hombre,
1398,Descriptivo,
1399,Descriptivo,
1400,Hombre,
1401,Descriptivo,
1402,Histórico,
1403,Hombre,
1404,Descriptivo,
1405,Lugar/Ciudad,
1406,Descriptivo,
1407,Descriptivo,
1408,Descriptivo,
1409,Histórico,
1410,Mujer,Cultura
1411,Histórico,
1412,Hombre,
1413,Descriptivo,
1414,Descriptivo,
1415,Hombre,
1416,Descriptivo,
1417,Descriptivo,
1418,Histórico,
1419,Pais/Nación/Región,
1420,Histórico,
1421,Descriptivo,
1422,Descriptivo,
1423,Descriptivo,
1424,Descriptivo,
1425,Descriptivo,
1426,Pais/Nación/Región,
1427,Descriptivo,
1428,Descriptivo,
1429,Descriptivo,
1430,Descriptivo,
1431,Descriptivo,
1432,Descriptivo,
1433,Descriptivo,
1434,Familia,
1435,Hombre,
1437,Descriptivo,
1440,Descriptivo,
1441,Mujer,Educación
1442,Mujer,Educación
1443,Descriptivo,
1444,Descriptivo,
1445,Mujer,Educación
1446,Descriptivo,
1447,Hombre,
1449,Descriptivo,
1450,Mujer,Educación
1451,Descriptivo,
1452,Mujer,Cultura
1453,Descriptivo,
1454,Mujer,Cultura
1455,Descriptivo,
1456,Hombre,
1457,Flora,
